Produto;Preáo;Pgto.;Nß Parcelas;Parcelamento;Data;Cliente;E-mail;DDD;Estado;Regi∆o;Telefone
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/01/2018;Leandro Martins;leandro@gmail.com;11;S∆o Paulo;Sudeste;992000000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;06/01/2018;Gil Martins;gil@gmail.com;11;S∆o Paulo;Sudeste;979900000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;06/01/2018;Andrei Martins;andrei@gmail.com;11;S∆o Paulo;Sudeste;968100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/01/2018;Leciana Martins;leciana@gmail.com;11;S∆o Paulo;Sudeste;949600000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;07/01/2018;V°tor Martins;vitor@gmail.com;61;Distrito Federal;Centro-Oeste;981700000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;07/01/2018;Ceres Martins;ceres@hotmail.com;71;Bahia;Nordeste;991000000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;07/01/2018;Kleber Martins;kleber@gmail.com;21;Rio de Janeiro;Sudeste;988900000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;07/01/2018;Cristiano Martins;cristiano@live.com;31;Minas Gerais;Sudeste;988800000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;07/01/2018;Janine Martins;janine@gmail.com;62;Goi†s;Centro-Oeste;981300000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;07/01/2018;Alberty Martins;alberty@hotmail.com;15;S∆o Paulo;Sudeste;981800000
Produto B;R$ 1.000;Cart∆o de Credito;10;Parcelado;07/01/2018;Yasmim Martins;yasmim@gmail.com;21;Rio de Janeiro;Sudeste;999400000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;08/01/2018;Alyson Martins;alyson@gmail.com;41;Paran†;Sul;997600000
Produto C;R$ 2.000;Cart∆o de Credito;3;Parcelado;08/01/2018;Matheus Martins;matheus@gmail.com;19;S∆o Paulo;Sudeste;981200000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;08/01/2018;Cauà Martins;caue@hotmail.com;11;S∆o Paulo;Sudeste;993600000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;08/01/2018;Delaide Martins;delaide@gmail.com;11;S∆o Paulo;Sudeste;988400000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;08/01/2018;Malcon Martins;malcon@gmail.com;21;Rio de Janeiro;Sudeste;970600000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;08/01/2018;Expedito Martins;expedito@gmail.com;83;Para°ba;Nordeste;988100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;09/01/2018;Abra∆o Martins;abraao@yahoo.com.br;21;Rio de Janeiro;Sudeste;994900000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;09/01/2018;William Martins;william@gmail.com;21;Rio de Janeiro;Sudeste;999700000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;09/01/2018;Handel Martins;handel@outlook.com.br;62;Goi†s;Centro-Oeste;993500000
Produto B;R$ 1.000;Cart∆o de Credito;5;Parcelado;09/01/2018;Raysa Martins;raysa@hotmail.com;21;Rio de Janeiro;Sudeste;979900000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;09/01/2018;Osmana Martins;osmana@hotmail.com;12;S∆o Paulo;Sudeste;981600000
Produto B;R$ 1.000;Cart∆o de Credito;2;Parcelado;10/01/2018;Ezequiel Martins;ezequiel@gmail.com;51;Rio Grande do Sul;Sul;999800000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;10/01/2018;Valeria Martins;valeria@gmail.com;11;S∆o Paulo;Sudeste;991800000
Produto C;R$ 2.000;Cart∆o de Credito;8;Parcelado;10/01/2018;Kevin Martins;kevin@gmail.com;71;Bahia;Nordeste;982100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;10/01/2018;Ivanise Martins;ivanise@hotmail.com;21;Rio de Janeiro;Sudeste;996900000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;11/01/2018;Milene Martins;milene@gmail.com;11;S∆o Paulo;Sudeste;960900000
Produto A;R$ 500;Cart∆o de Credito;6;Parcelado;11/01/2018;Mauricio Martins;mauricio@outlook.com;11;S∆o Paulo;Sudeste;990100000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;11/01/2018;Sales Martins;sales@hotmail.com;95;Roraima;Norte;981000000
Produto C;R$ 2.000;Cart∆o de Credito;5;Parcelado;11/01/2018;Welington Martins;welington@hotmail.com;33;Minas Gerais;Sudeste;999400000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;11/01/2018;Carpeggiane Martins;carpeggiane@gmail.com;69;Rondìnia;Norte;996000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;11/01/2018;Milene Martins;milene@gmail.com;13;S∆o Paulo;Sudeste;981000000
Produto B;R$ 1.000;Cart∆o de Credito;5;Parcelado;11/01/2018;Kaliany Martins;kaliany@gmail.com;19;S∆o Paulo;Sudeste;988400000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;12/01/2018;Edison Martins;edison@gmail.com;19;S∆o Paulo;Sudeste;994000000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;12/01/2018;Tamires Martins;tamires@gmail.com;85;Cear†;Nordeste;991400000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;12/01/2018;Sergio Martins;sergio@gmail.com;31;Minas Gerais;Sudeste;998000000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;12/01/2018;Euler Martins;euler@gmail.com;16;S∆o Paulo;Sudeste;991100000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;12/01/2018;Wallysson Martins;wallysson@hotmail.com;62;Goi†s;Centro-Oeste;982800000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;12/01/2018;Isabela Martins;isabela@gmail.com;15;S∆o Paulo;Sudeste;998200000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;12/01/2018;Axel Martins;axel@hotmail.com;19;S∆o Paulo;Sudeste;983000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;12/01/2018;Irineu Martins;irineu@yahoo.com.br;19;S∆o Paulo;Sudeste;992200000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;13/01/2018;Selma Martins;selma@gmail.com;31;Minas Gerais;Sudeste;999400000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;13/01/2018;Jackeline Martins;jackeline@hotmail.com;11;S∆o Paulo;Sudeste;961500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;13/01/2018;Joan Martins;joan@gmail.com;18;S∆o Paulo;Sudeste;996500000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;13/01/2018;Iris Martins;iris@hotmail.com;92;Amazonas;Norte;993000000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;13/01/2018;Theotonio Martins;theotonio@uol.com.br;19;S∆o Paulo;Sudeste;981900000
Produto C;R$ 2.000;Cart∆o de Credito;5;Parcelado;14/01/2018;Magda Martins;magda@gmail.com;47;Santa Catarina;Sul;996600000
Produto A;R$ 500;Cart∆o de Credito;4;Parcelado;14/01/2018;Herivelton Martins;herivelton@gmail.com;85;Cear†;Nordeste;987200000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;14/01/2018;Celina Martins;celina@gmail.com;11;S∆o Paulo;Sudeste;970600000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;14/01/2018;Elyndiana Martins;elyndiana@gmail.com;98;Maranh∆o;Nordeste;989100000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;14/01/2018;Pablo Martins;pablo@hotmail.com;77;Bahia;Nordeste;991700000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;14/01/2018;Roni Martins;roni@hotmail.com;27;Esp°rito Santo;Sudeste;998500000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;14/01/2018;Joana Martins;joana@hotmail.com;48;Santa Catarina;Sul;988000000
Produto C;R$ 2.000;Cart∆o de Credito;3;Parcelado;14/01/2018;Luiza Martins;luiza@hotmail.com;21;Rio de Janeiro;Sudeste;976200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;15/01/2018;Nicole Martins;nicole@hotmail.com;11;S∆o Paulo;Sudeste;940000000
Produto A;R$ 500;Cart∆o de Credito;3;Parcelado;15/01/2018;Monalisa Martins;monalisa@gmail.com;21;Rio de Janeiro;Sudeste;970400000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;15/01/2018;Ederson Martins;ederson@hotmail.com;18;S∆o Paulo;Sudeste;996800000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;15/01/2018;Danielly Martins;danielly@live.com;71;Bahia;Nordeste;992300000
Produto A;R$ 500;Cart∆o de Credito;5;Parcelado;16/01/2018;Gleicia Martins;gleicia@gmail.com;11;S∆o Paulo;Sudeste;964400000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;16/01/2018;Shiguenori Martins;shiguenori@hotmail.com;11;S∆o Paulo;Sudeste;983700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;16/01/2018;Aldenize Martins;aldenize@gmail.com;92;Amazonas;Norte;992300000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;16/01/2018;Gesio Martins;gesio@gmail.com;28;Esp°rito Santo;Sudeste;999800000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;16/01/2018;Luciana Martins;luciana@gmail.com;11;S∆o Paulo;Sudeste;999900000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;16/01/2018;Adalto Martins;adalto@gmail.com;65;Mato Grosso;Centro-Oeste;996700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;16/01/2018;Sileno Martins;sileno@gmail.com;83;Para°ba;Nordeste;998400000
Produto C;R$ 2.000;Cart∆o de Credito;6;Parcelado;17/01/2018;Neimar Martins;neimar@gmail.com;28;Esp°rito Santo;Sudeste;999000000
Produto B;R$ 1.000;Cart∆o de Credito;3;Parcelado;17/01/2018;Anthonione Martins;anthonione@hotmail.com;11;S∆o Paulo;Sudeste;963400000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;17/01/2018;Lukas Martins;lukas@hotmail.com;41;Paran†;Sul;991300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;17/01/2018;Sulzana Martins;sulzana@gmail.com;12;S∆o Paulo;Sudeste;991400000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;17/01/2018;Cesar Martins;cesar@gmail.com;34;Minas Gerais;Sudeste;992400000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;18/01/2018;Raiana Martins;raiana@yahoo.com.br;11;S∆o Paulo;Sudeste;973800000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;18/01/2018;Welder Martins;welder@gmail.com;15;S∆o Paulo;Sudeste;996700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;18/01/2018;Eric Martins;eric@hotmail.com;22;Rio de Janeiro;Sudeste;981200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;19/01/2018;Karolaine Martins;karolaine@gmail.com;92;Amazonas;Norte;995100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;19/01/2018;Baltazar Martins;baltazar@hotmail.com;64;Goi†s;Centro-Oeste;993300000
Produto A;R$ 500;Cart∆o de Credito;10;Parcelado;19/01/2018;Isadora Martins;isadora@hotmail.com;41;Paran†;Sul;992600000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;19/01/2018;Johnatan Martins;johnatan@gmail.com;31;Minas Gerais;Sudeste;983100000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;19/01/2018;RosÉngela Martins;rosangela@gmail.com;12;S∆o Paulo;Sudeste;982100000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;19/01/2018;Marcelo Martins;marcelo@gmail.com;12;S∆o Paulo;Sudeste;991400000
Produto C;R$ 2.000;Cart∆o de Credito;10;Parcelado;19/01/2018;Andrezza Martins;andrezza@gmail.com;17;S∆o Paulo;Sudeste;996700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;19/01/2018;Jussiane Martins;jussiane@gmail.com;71;Bahia;Nordeste;997000000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;19/01/2018;Thaiz Martins;thaiz@gmail.com;21;Rio de Janeiro;Sudeste;979100000
Produto A;R$ 500;Cart∆o de Credito;4;Parcelado;19/01/2018;Karla Martins;karla@outlook.com;79;Sergipe;Nordeste;991200000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;20/01/2018;Bianca Martins;bianca@gmail.com;21;Rio de Janeiro;Sudeste;992500000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;20/01/2018;Rebeka Martins;rebeka@gmail.com;21;Rio de Janeiro;Sudeste;994500000
Produto A;R$ 500;Boleto Banc†rio;12;Parcelado;20/01/2018;Gislene Martins;gislene@hotmail.com;11;S∆o Paulo;Sudeste;947300000
Produto A;R$ 500;Cart∆o de Credito;6;Parcelado;20/01/2018;Allisson Martins;allisson@gmail.com;85;Cear†;Nordeste;999000000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;21/01/2018;Tairine Martins;tairine@hotmail.com;31;Minas Gerais;Sudeste;986000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;21/01/2018;Amanda Martins;amanda@hotmail.com;31;Minas Gerais;Sudeste;994600000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;21/01/2018;Enrique Martins;enrique@hotmail.com;11;S∆o Paulo;Sudeste;998700000
Produto B;R$ 1.000;Cart∆o de Credito;10;Parcelado;21/01/2018;Poliana Martins;poliana@outlook.com;11;S∆o Paulo;Sudeste;951200000
Produto A;R$ 500;Cart∆o de Credito;10;Parcelado;21/01/2018;Naelson Martins;naelson@gmail.com;11;S∆o Paulo;Sudeste;954700000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;21/01/2018;Washington Martins;washington@gmail.com;16;S∆o Paulo;Sudeste;992600000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;21/01/2018;Girlane Martins;girlane@gmail.com;51;Rio Grande do Sul;Sul;996100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;22/01/2018;N°colas Martins;nicolas@hotmail.com;11;S∆o Paulo;Sudeste;964700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;22/01/2018;Nayara Martins;nayara@gmail.com;31;Minas Gerais;Sudeste;987700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;22/01/2018;Jheniffer Martins;jheniffer@hotmail.com;24;Rio de Janeiro;Sudeste;993000000
Produto A;R$ 500;Cart∆o de Credito;6;Parcelado;22/01/2018;Francisco Martins;francisco@hotmail.com;89;Piau°;Nordeste;999200000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;22/01/2018;Lindivaldo Martins;lindivaldo@hotmail.com;83;Para°ba;Nordeste;991800000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;22/01/2018;Yara Martins;yara@hotmail.com;15;S∆o Paulo;Sudeste;997000000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;23/01/2018;Claudia Martins;claudia@hotmail.com;11;S∆o Paulo;Sudeste;994800000
Produto A;R$ 500;Cart∆o de Credito;7;Parcelado;23/01/2018;Phillippi Martins;phillippi@gmail.com;21;Rio de Janeiro;Sudeste;992600000
Produto A;R$ 500;Cart∆o de Credito;4;Parcelado;23/01/2018;Renata Martins;renata@gmail.com;55;Rio Grande do Sul;Sul;996600000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;23/01/2018;Geiza Martins;geiza@hotmail.com;71;Bahia;Nordeste;987900000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;23/01/2018;Adelone Martins;adelone@gmail.com;34;Minas Gerais;Sudeste;988500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;24/01/2018;Evelyn Martins;evelyn@hotmail.com;91;Par†;Norte;982000000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;24/01/2018;Tamy Martins;tamy@gmail.com;11;S∆o Paulo;Sudeste;998400000
Produto A;R$ 500;Cart∆o de Credito;9;Parcelado;24/01/2018;Alichele Martins;alichele@gmail.com;71;Bahia;Nordeste;982100000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;24/01/2018;Isabella Martins;isabella@gmail.com;31;Minas Gerais;Sudeste;971200000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;24/01/2018;Fabricia Martins;fabricia@gmail.com;31;Minas Gerais;Sudeste;995100000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;24/01/2018;Ijoel Martins;ijoel@hotmail.com;11;S∆o Paulo;Sudeste;998500000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;24/01/2018;Cinthia Martins;cinthia@hotmail.com;21;Rio de Janeiro;Sudeste;994700000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;24/01/2018;Valdinar Martins;valdinar@yahoo.com.br;94;Par†;Norte;992600000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;24/01/2018;S°lvia Martins;silvia@gmail.com;83;Para°ba;Nordeste;999000000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;24/01/2018;Nicicley Martins;nicicley@yahoo.com.br;21;Rio de Janeiro;Sudeste;993100000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;25/01/2018;Nildomar Martins;nildomar@gmail.com;11;S∆o Paulo;Sudeste;998700000
Produto A;R$ 500;Cart∆o de Credito;4;Parcelado;25/01/2018;Tayna Martins;tayna@hotmail.com;41;Paran†;Sul;992800000
Produto B;R$ 1.000;Cart∆o de Credito;3;Parcelado;25/01/2018;Albino Martins;albino@gmail.com;22;Rio de Janeiro;Sudeste;999400000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;25/01/2018;Lane Martins;lane@hotmail.com;21;Rio de Janeiro;Sudeste;997900000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;26/01/2018;Bernardo Martins;bernardo@hotmail.com;21;Rio de Janeiro;Sudeste;995800000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;26/01/2018;Dayane Martins;dayane@hotmail.com;31;Minas Gerais;Sudeste;971100000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;26/01/2018;Estevan Martins;estevan@hotmail.com;11;S∆o Paulo;Sudeste;998100000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;26/01/2018;Marcel Martins;marcel@outlook.com;11;S∆o Paulo;Sudeste;984000000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;26/01/2018;Otto Martins;otto@gmail.com;82;Alagoas;Nordeste;999900000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;27/01/2018;Cassiana Martins;cassiana@gmail.com;54;Rio Grande do Sul;Sul;984300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;27/01/2018;Jocimar Martins;jocimar@gmail.com;71;Bahia;Nordeste;992700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;27/01/2018;Jobel Martins;jobel@gmail.com;11;S∆o Paulo;Sudeste;944500000
Produto A;R$ 500;Cart∆o de Credito;5;Parcelado;27/01/2018;Vitoriana Martins;vitoriana@gmail.com;11;S∆o Paulo;Sudeste;949600000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;27/01/2018;Claudilene Martins;claudilene@gmail.com;65;Mato Grosso;Centro-Oeste;993000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;27/01/2018;Veruska Martins;veruska@hotmail.com;11;S∆o Paulo;Sudeste;971700000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;27/01/2018;Valmirim Martins;valmirim@gmail.com;61;Distrito Federal;Centro-Oeste;982200000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;28/01/2018;Lilia Martins;lilia@yahoo.com.br;11;S∆o Paulo;Sudeste;984800000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;28/01/2018;Erley Martins;erley@gmail.com;64;Goi†s;Centro-Oeste;981200000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;28/01/2018;Eleonora Martins;eleonora@gmail.com;11;S∆o Paulo;Sudeste;977000000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;28/01/2018;Rafaela Martins;rafaela@gmail.com;11;S∆o Paulo;Sudeste;993200000
Produto A;R$ 500;Cart∆o de Credito;6;Parcelado;28/01/2018;Mariana Martins;mariana@hotmail.com;46;Paran†;Sul;999800000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;28/01/2018;Jesianne Martins;jesianne@hotmail.com;27;Esp°rito Santo;Sudeste;998400000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;28/01/2018;Andre Martins;andre@gmail.com;27;Esp°rito Santo;Sudeste;999700000
Produto A;R$ 500;Cart∆o de Credito;3;Parcelado;28/01/2018;Dieizon Martins;dieizon@gmail.com;41;Paran†;Sul;992000000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;28/01/2018;Ayrton Martins;ayrton@gmail.com;11;S∆o Paulo;Sudeste;966900000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;28/01/2018;Daniel Martins;daniel@gmail.com;21;Rio de Janeiro;Sudeste;992200000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;29/01/2018;Fernanda Martins;fernanda@yahoo.com.br;21;Rio de Janeiro;Sudeste;997900000
Produto B;R$ 1.000;Cart∆o de Credito;8;Parcelado;30/01/2018;Elza Martins;elza@hotmail.com;11;S∆o Paulo;Sudeste;963400000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;30/01/2018;Agnaldo Martins;agnaldo@yahoo.com.br;16;S∆o Paulo;Sudeste;991200000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;30/01/2018;Vilcelino Martins;vilcelino@hotmail.com;73;Bahia;Nordeste;981900000
Produto C;R$ 2.000;Cart∆o de Credito;6;Parcelado;30/01/2018;Celio Martins;celio@yahoo.com.br;31;Minas Gerais;Sudeste;997600000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;30/01/2018;Lizandra Martins;lizandra@gmail.com;41;Paran†;Sul;998500000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;30/01/2018;Robson Martins;robson@gmail.com;11;S∆o Paulo;Sudeste;957900000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;30/01/2018;Romeu Martins;romeu@hotmail.com;11;S∆o Paulo;Sudeste;998500000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;31/01/2018;Cleusa Martins;cleusa@gmail.com;11;S∆o Paulo;Sudeste;996900000
Produto C;R$ 2.000;Cart∆o de Credito;8;Parcelado;31/01/2018;Gessika Martins;gessika@outlook.com;81;Pernambuco;Nordeste;998700000
